Command,Interpretation,SutureSetCount,RecordingStartTime,STTStartTime,LLMStartTime,LLMEndTime
" Let go of the tissue.",UngraspTissue,4,1647.728,1650.745,1650.829,1651.399
" Switch to the T-Tag.",ActivateTTag,4,1662.834,1665.847,1665.924,1666.345
" Switch to the cinch.",ActivateCinch,4,1686.945,1689.963,1690.036,1690.418
" Drop the cinch.",DeployCinch,4,1709.753,1712.77,1712.842,1713.238
" Switch to the helix.",ActivateSpring,5,1761.234,1764.264,1764.355,1764.709
" Get a hold of the tissue.",GraspTissue,5,1798.802,1801.822,1801.917,1802.411
" Let go of the tissue.",UngraspTissue,5,1810.352,1813.368,1813.438,1813.997
" Get a hold of the tissue.",GraspTissue,5,1841.687,1844.705,1844.797,1845.279
" Let go of the tissue.",UngraspTissue,5,1859.832,1862.85,1862.963,1863.509
" Get a hold of the tissue.",GraspTissue,5,1900.127,1903.146,1903.238,1903.723
" Let go of the tissue.",UngraspTissue,5,1912.651,1915.665,1915.731,1916.294
" Get a hold of the tissue.",GraspTissue,5,1951.434,1954.465,1954.557,1955.058
" Let go of the tissue.",UngraspTissue,5,1964.332,1967.349,1967.443,1968.016
" Get a hold of the tissue.",GraspTissue,5,1989.575,1992.609,1992.689,1993.177
" Let go of the tissue.",UngraspTissue,5,2001.638,2004.652,2004.718,2005.258
" Get a hold of the tissue.",GraspTissue,5,2023.076,2026.094,2026.166,2026.672
" Let go of the tissue.",UngraspTissue,5,2037.14,2040.156,2040.224,2040.785
" So, you should do your legs.",GraspTissue,5,2048.744,2052.765,2052.942,2053.433
" Let go of the tissue.",UngraspTissue,5,2059.421,2062.437,2062.531,2063.092
" Switch to the t-tag.",ActivateTTag,5,2070.709,2073.739,2073.848,2074.266
" Switch to the cinch.",ActivateCinch,5,2087.227,2090.243,2090.316,2090.729
" Drop the cinch.",DeployCinch,5,2112.349,2115.369,2115.435,2115.841
" Switch to the helix.",ActivateSpring,6,2151.966,2155.988,2156.104,2156.424
" Get a hold of the tissue.",GraspTissue,6,2192.035,2195.053,2195.187,2195.691
" Let go of the tissue.",UngraspTissue,6,2205.872,2208.887,2208.958,2209.526
" Get a hold of the tissue.",GraspTissue,6,2242.936,2245.952,2246.078,2246.582
" Let go of the tissue.",UngraspTissue,6,2255.271,2258.288,2258.354,2258.948
" Get a hold of the tissue.",GraspTissue,6,2282.603,2285.635,2285.727,2286.203
" Let go of the tissue.",UngraspTissue,6,2296.369,2299.384,2299.452,2300.02
" Get a hold of the tissue.",GraspTissue,6,2329.051,2332.066,2332.14,2332.637
" Let go of the tissue.",UngraspTissue,6,2342.526,2345.544,2345.619,2346.206
" Get a hold of the tissue.",GraspTissue,6,2371.548,2374.565,2374.632,2375.105
" Let go of the tissue.",UngraspTissue,6,2383.925,2386.94,2387.02,2387.586
" Get a hold of the tissue.",GraspTissue,6,2401.032,2404.047,2404.16,2404.653
" Let go of the tissue.",UngraspTissue,6,2412.753,2415.77,2415.835,2416.406
" Switch to the T-Tag.",ActivateTTag,6,2431.321,2435.344,2435.476,2435.885
" Switch to the cinch.",ActivateCinch,6,2451.445,2455.489,2455.571,2455.967
" Drop to Cinch.",DeployCinch,6,2476.928,2479.949,2480.016,2480.423
